timestamp,open,high,low,close,volume,value,trade_cnt,active_buy_volume,active_buy_value
2025-02-10 00:00:00,96438.00,96455.60,96425.10,96455.60,50.638,4883451.01400,1073,21.927,2114569.97230
2025-02-10 00:01:00,96455.50,96455.60,96353.10,96353.20,65.105,6274644.18740,1824,14.688,1415487.16170
2025-02-10 00:02:00,96353.10,96369.70,96312.50,96346.60,67.974,6548706.69170,1774,23.950,2307470.16760
2025-02-10 00:03:00,96346.70,96357.40,96314.00,96314.00,32.459,3127194.33130,980,8.948,862061.16940
2025-02-10 00:04:00,96314.00,96353.70,96314.00,96340.00,35.161,3387518.74770,833,18.603,1792194.70500
2025-02-10 00:05:00,96340.10,96358.90,96328.00,96335.70,61.339,5909907.04320,933,24.504,2360970.76200
2025-02-10 00:06:00,96335.70,96438.00,96335.60,96438.00,47.202,4549327.85930,1294,36.150,3484282.58710
2025-02-10 00:07:00,96438.00,96460.00,96396.10,96404.90,38.717,3733679.38690,1093,11.123,1072492.27080
2025-02-10 00:08:00,96404.90,96412.00,96376.50,96411.90,30.317,2922564.49870,918,13.533,1304560.01940
2025-02-10 00:09:00,96412.00,96421.70,96386.70,96395.60,22.233,2143401.65830,806,10.286,991602.76760
2025-02-10 00:10:00,96395.60,96428.60,96393.90,96428.50,18.570,1790410.53940,716,14.870,1433681.07660
2025-02-10 00:11:00,96428.60,96440.70,96386.20,96386.30,17.036,1642496.17510,824,6.599,636187.87960
2025-02-10 00:12:00,96386.20,96420.00,96386.20,96418.30,30.917,2980837.37970,651,18.116,1746572.19780
2025-02-10 00:13:00,96418.20,96431.30,96413.20,96427.00,24.153,2328937.08160,727,14.381,1386680.28530
2025-02-10 00:14:00,96427.10,96510.90,96427.00,96510.80,61.310,5915483.86860,1699,40.255,3883853.78180
2025-02-10 00:15:00,96510.80,96510.80,96400.00,96409.20,96.480,9304692.65080,2102,29.347,2830385.65390
2025-02-10 00:16:00,96409.30,96466.50,96352.50,96352.50,94.938,9154305.40360,2045,67.995,6557029.56860
2025-02-10 00:17:00,96352.60,96402.80,96352.50,96402.80,40.822,3934370.42130,1219,23.211,2236962.51420
2025-02-10 00:18:00,96402.70,96436.90,96402.70,96436.90,9.900,954466.07670,687,5.631,542886.13170
2025-02-10 00:19:00,96436.80,96496.80,96436.80,96483.20,71.615,6908887.12150,1303,63.571,6132907.23300
2025-02-10 00:20:00,96483.30,96483.30,96427.20,96432.00,24.321,2345836.17010,893,11.683,1126889.99750
2025-02-10 00:21:00,96432.00,96432.10,96403.40,96417.40,15.629,1506847.71440,569,8.002,771503.66440
2025-02-10 00:22:00,96417.40,96451.50,96417.30,96431.50,19.007,1833032.86820,636,9.724,937706.36850
2025-02-10 00:23:00,96431.50,96440.60,96415.30,96415.30,19.429,1873471.73920,709,9.505,916556.12080
2025-02-10 00:24:00,96415.30,96452.10,96415.30,96443.20,19.702,1899823.23810,657,13.777,1328459.13390
2025-02-10 00:25:00,96443.30,96460.00,96407.20,96447.90,93.201,8987203.11020,1360,54.933,5297330.46150
2025-02-10 00:26:00,96447.90,96448.00,96447.90,96448.00,9.507,916930.56710,195,3.818,368238.46400
2025-02-10 00:27:00,96448.00,96474.50,96407.00,96465.70,108.354,10450513.14840,1422,52.273,5041617.66290
2025-02-10 00:28:00,96465.50,96465.50,96452.60,96452.60,54.711,5277177.57870,504,2.231,215191.38640
2025-02-10 00:29:00,96452.60,96452.60,96402.70,96402.70,68.281,6583880.85580,897,8.663,835282.85010
2025-02-10 00:30:00,96402.70,96402.80,96372.00,96378.10,40.334,3887644.21400,915,11.054,1065396.68280
2025-02-10 00:31:00,96378.00,96400.10,96350.00,96354.60,45.062,4342593.38950,1138,17.289,1666195.50260
2025-02-10 00:32:00,96354.60,96354.60,96277.80,96335.50,200.688,19331272.55900,2306,22.267,2144339.66400
